design_name,task_id,prompt,ref_solution,testbench
counter,counter_0,"that the counter does not overflow. Use the signals 'count', 'count_d1', 'jump_vld_d1', and 'tb_reset_1_cycle_pulse_shadow'.","asrt: assert property (@(posedge clk) disable iff (tb_reset)
    ((count_d1 === max) && !jump_vld_d1 && ((count <= min) || (count > max)) && !tb_reset_1_cycle_pulse_shadow) !== 1'b1
);","module counter_tb (
clk, reset_, count, incr_vld, incr_value, decr_vld, decr_value, jump_vld, jump_value
);

    parameter width = 1;
    parameter min = 0;
    parameter [width:0] max = ((1<<width)-1);

input clk;
input reset_;
input [width-1:0] count;
input             incr_vld;
input [width-1:0] incr_value;
input             decr_vld;
input [width-1:0] decr_value;
input             jump_vld;
input [width-1:0] jump_value;


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);


wire [width-1:0] eff_incr = {width{incr_vld}} & incr_value;
wire [width-1:0] eff_decr = {width{decr_vld}} & decr_value;
wire [width-1:0] net_incr = (eff_incr>eff_decr) ? (eff_incr-eff_decr) : {width{1'b0}};
wire [width-1:0] net_decr = (eff_decr>eff_incr) ? (eff_decr-eff_incr) : {width{1'b0}};


reg [width-1:0] eff_incr_d1;
reg [width-1:0] eff_decr_d1;
reg [width-1:0] net_incr_d1;
reg [width-1:0] net_decr_d1;

reg [width-1:0] count_d1;
reg             incr_vld_d1;
reg [width-1:0] incr_value_d1;
reg             decr_vld_d1;
reg [width-1:0] decr_value_d1;
reg             jump_vld_d1;
reg [width-1:0] jump_value_d1;

reg [width:0]     count_d1_next;
reg [width:0]     count_d1_next_p;
reg [width:0]     count_d1_next_m;

reg tb_reset_d1;
reg tb_reset_d2;
reg tb_reset_1_cycle_pulse_shadow;

always @(posedge clk) begin
    if (!reset_) begin 
        incr_vld_d1 <= 1'b0;
        decr_vld_d1 <= 1'b0;
        jump_vld_d1 <= 1'b0;
        eff_incr_d1 <= {width{1'b0}};
        eff_decr_d1 <= {width{1'b0}};
        net_incr_d1 <= {width{1'b0}};
        net_decr_d1 <= {width{1'b0}};
    end else begin
        eff_incr_d1 <= eff_incr;
        eff_decr_d1 <= eff_decr;
        net_incr_d1 <= net_incr;
        net_decr_d1 <= net_decr;
        incr_vld_d1 <= incr_vld;
        decr_vld_d1 <= decr_vld;
        jump_vld_d1 <= jump_vld;         
    end
end

always @(posedge clk) begin
        count_d1 <= count;
        incr_value_d1 <= incr_value;
        decr_value_d1 <= decr_value;
        jump_value_d1 <= jump_value;
        tb_reset_d1 <= tb_reset;          
        tb_reset_d2 <= tb_reset_d1;         
end
always @(posedge clk) begin
    count_d1_next <= count_d1 + net_incr_d1 - net_decr_d1;
    count_d1_next_m <= count_d1 - net_decr_d1;
    count_d1_next_p <= count_d1 + net_incr_d1;
    tb_reset_1_cycle_pulse_shadow <=!tb_reset_d2 && tb_reset_d1 && !tb_reset;
end

endmodule"
counter,counter_1,"that the counter does not underflow. Use the signals 'count', 'count_d1', 'jump_vld_d1', and 'tb_reset_1_cycle_pulse_shadow'.","asrt: assert property (@(posedge clk) disable iff (tb_reset)
    ((count_d1 === min) && !jump_vld_d1 && ((count < min) || (count >= max)) && !tb_reset_1_cycle_pulse_shadow) !== 1'b1
);","module counter_tb (
clk, reset_, count, incr_vld, incr_value, decr_vld, decr_value, jump_vld, jump_value
);

    parameter width = 1;
    parameter min = 0;
    parameter [width:0] max = ((1<<width)-1);

input clk;
input reset_;
input [width-1:0] count;
input             incr_vld;
input [width-1:0] incr_value;
input             decr_vld;
input [width-1:0] decr_value;
input             jump_vld;
input [width-1:0] jump_value;


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);


wire [width-1:0] eff_incr = {width{incr_vld}} & incr_value;
wire [width-1:0] eff_decr = {width{decr_vld}} & decr_value;
wire [width-1:0] net_incr = (eff_incr>eff_decr) ? (eff_incr-eff_decr) : {width{1'b0}};
wire [width-1:0] net_decr = (eff_decr>eff_incr) ? (eff_decr-eff_incr) : {width{1'b0}};


reg [width-1:0] eff_incr_d1;
reg [width-1:0] eff_decr_d1;
reg [width-1:0] net_incr_d1;
reg [width-1:0] net_decr_d1;

reg [width-1:0] count_d1;
reg             incr_vld_d1;
reg [width-1:0] incr_value_d1;
reg             decr_vld_d1;
reg [width-1:0] decr_value_d1;
reg             jump_vld_d1;
reg [width-1:0] jump_value_d1;

reg [width:0]     count_d1_next;
reg [width:0]     count_d1_next_p;
reg [width:0]     count_d1_next_m;

reg tb_reset_d1;
reg tb_reset_d2;
reg tb_reset_1_cycle_pulse_shadow;

always @(posedge clk) begin
    if (!reset_) begin 
        incr_vld_d1 <= 1'b0;
        decr_vld_d1 <= 1'b0;
        jump_vld_d1 <= 1'b0;
        eff_incr_d1 <= {width{1'b0}};
        eff_decr_d1 <= {width{1'b0}};
        net_incr_d1 <= {width{1'b0}};
        net_decr_d1 <= {width{1'b0}};
    end else begin
        eff_incr_d1 <= eff_incr;
        eff_decr_d1 <= eff_decr;
        net_incr_d1 <= net_incr;
        net_decr_d1 <= net_decr;
        incr_vld_d1 <= incr_vld;
        decr_vld_d1 <= decr_vld;
        jump_vld_d1 <= jump_vld;         
    end
end

always @(posedge clk) begin
        count_d1 <= count;
        incr_value_d1 <= incr_value;
        decr_value_d1 <= decr_value;
        jump_value_d1 <= jump_value;
        tb_reset_d1 <= tb_reset;          
        tb_reset_d2 <= tb_reset_d1;         
end
always @(posedge clk) begin
    count_d1_next <= count_d1 + net_incr_d1 - net_decr_d1;
    count_d1_next_m <= count_d1 - net_decr_d1;
    count_d1_next_p <= count_d1 + net_incr_d1;
    tb_reset_1_cycle_pulse_shadow <=!tb_reset_d2 && tb_reset_d1 && !tb_reset;
end

endmodule"
counter,counter_2,that the counter count value is within legal range. Use the signal 'count'.,"asrt: assert property (@(posedge clk) disable iff (tb_reset)
    ((count < min) || (count > max)) !== 1'b1
);","module counter_tb (
clk, reset_, count, incr_vld, incr_value, decr_vld, decr_value, jump_vld, jump_value
);

    parameter width = 1;
    parameter min = 0;
    parameter [width:0] max = ((1<<width)-1);

input clk;
input reset_;
input [width-1:0] count;
input             incr_vld;
input [width-1:0] incr_value;
input             decr_vld;
input [width-1:0] decr_value;
input             jump_vld;
input [width-1:0] jump_value;


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);


wire [width-1:0] eff_incr = {width{incr_vld}} & incr_value;
wire [width-1:0] eff_decr = {width{decr_vld}} & decr_value;
wire [width-1:0] net_incr = (eff_incr>eff_decr) ? (eff_incr-eff_decr) : {width{1'b0}};
wire [width-1:0] net_decr = (eff_decr>eff_incr) ? (eff_decr-eff_incr) : {width{1'b0}};


reg [width-1:0] eff_incr_d1;
reg [width-1:0] eff_decr_d1;
reg [width-1:0] net_incr_d1;
reg [width-1:0] net_decr_d1;

reg [width-1:0] count_d1;
reg             incr_vld_d1;
reg [width-1:0] incr_value_d1;
reg             decr_vld_d1;
reg [width-1:0] decr_value_d1;
reg             jump_vld_d1;
reg [width-1:0] jump_value_d1;

reg [width:0]     count_d1_next;
reg [width:0]     count_d1_next_p;
reg [width:0]     count_d1_next_m;

reg tb_reset_d1;
reg tb_reset_d2;
reg tb_reset_1_cycle_pulse_shadow;

always @(posedge clk) begin
    if (!reset_) begin 
        incr_vld_d1 <= 1'b0;
        decr_vld_d1 <= 1'b0;
        jump_vld_d1 <= 1'b0;
        eff_incr_d1 <= {width{1'b0}};
        eff_decr_d1 <= {width{1'b0}};
        net_incr_d1 <= {width{1'b0}};
        net_decr_d1 <= {width{1'b0}};
    end else begin
        eff_incr_d1 <= eff_incr;
        eff_decr_d1 <= eff_decr;
        net_incr_d1 <= net_incr;
        net_decr_d1 <= net_decr;
        incr_vld_d1 <= incr_vld;
        decr_vld_d1 <= decr_vld;
        jump_vld_d1 <= jump_vld;         
    end
end

always @(posedge clk) begin
        count_d1 <= count;
        incr_value_d1 <= incr_value;
        decr_value_d1 <= decr_value;
        jump_value_d1 <= jump_value;
        tb_reset_d1 <= tb_reset;          
        tb_reset_d2 <= tb_reset_d1;         
end
always @(posedge clk) begin
    count_d1_next <= count_d1 + net_incr_d1 - net_decr_d1;
    count_d1_next_m <= count_d1 - net_decr_d1;
    count_d1_next_p <= count_d1 + net_incr_d1;
    tb_reset_1_cycle_pulse_shadow <=!tb_reset_d2 && tb_reset_d1 && !tb_reset;
end

endmodule"
counter,counter_3,"that for the jump case, counter is properly assigned with the jump value. Use the signals 'count' and 'jump_vld_d1'.","asrt: assert property (@(posedge clk) disable iff (tb_reset)
    (jump_vld_d1 && (count !== jump_value_d1)) !== 1'b1
);","module counter_tb (
clk, reset_, count, incr_vld, incr_value, decr_vld, decr_value, jump_vld, jump_value
);

    parameter width = 1;
    parameter min = 0;
    parameter [width:0] max = ((1<<width)-1);

input clk;
input reset_;
input [width-1:0] count;
input             incr_vld;
input [width-1:0] incr_value;
input             decr_vld;
input [width-1:0] decr_value;
input             jump_vld;
input [width-1:0] jump_value;


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);


wire [width-1:0] eff_incr = {width{incr_vld}} & incr_value;
wire [width-1:0] eff_decr = {width{decr_vld}} & decr_value;
wire [width-1:0] net_incr = (eff_incr>eff_decr) ? (eff_incr-eff_decr) : {width{1'b0}};
wire [width-1:0] net_decr = (eff_decr>eff_incr) ? (eff_decr-eff_incr) : {width{1'b0}};


reg [width-1:0] eff_incr_d1;
reg [width-1:0] eff_decr_d1;
reg [width-1:0] net_incr_d1;
reg [width-1:0] net_decr_d1;

reg [width-1:0] count_d1;
reg             incr_vld_d1;
reg [width-1:0] incr_value_d1;
reg             decr_vld_d1;
reg [width-1:0] decr_value_d1;
reg             jump_vld_d1;
reg [width-1:0] jump_value_d1;

reg [width:0]     count_d1_next;
reg [width:0]     count_d1_next_p;
reg [width:0]     count_d1_next_m;

reg tb_reset_d1;
reg tb_reset_d2;
reg tb_reset_1_cycle_pulse_shadow;

always @(posedge clk) begin
    if (!reset_) begin 
        incr_vld_d1 <= 1'b0;
        decr_vld_d1 <= 1'b0;
        jump_vld_d1 <= 1'b0;
        eff_incr_d1 <= {width{1'b0}};
        eff_decr_d1 <= {width{1'b0}};
        net_incr_d1 <= {width{1'b0}};
        net_decr_d1 <= {width{1'b0}};
    end else begin
        eff_incr_d1 <= eff_incr;
        eff_decr_d1 <= eff_decr;
        net_incr_d1 <= net_incr;
        net_decr_d1 <= net_decr;
        incr_vld_d1 <= incr_vld;
        decr_vld_d1 <= decr_vld;
        jump_vld_d1 <= jump_vld;         
    end
end

always @(posedge clk) begin
        count_d1 <= count;
        incr_value_d1 <= incr_value;
        decr_value_d1 <= decr_value;
        jump_value_d1 <= jump_value;
        tb_reset_d1 <= tb_reset;          
        tb_reset_d2 <= tb_reset_d1;         
end
always @(posedge clk) begin
    count_d1_next <= count_d1 + net_incr_d1 - net_decr_d1;
    count_d1_next_m <= count_d1 - net_decr_d1;
    count_d1_next_p <= count_d1 + net_incr_d1;
    tb_reset_1_cycle_pulse_shadow <=!tb_reset_d2 && tb_reset_d1 && !tb_reset;
end

endmodule"
counter,counter_4,"that if there is no increment, decrement or jump, the counter should retain its value. Use the signals 'count', 'count_d1', 'jump_vld_d1', 'incr_vld_d1', 'decr_vld_d1', and 'tb_reset_1_cycle_pulse_shadow'.","asrt: assert property (@(posedge clk) disable iff (tb_reset)
    (!incr_vld_d1 && !decr_vld_d1 && !jump_vld_d1 && (count !== count_d1) && !tb_reset_1_cycle_pulse_shadow) !== 1'b1
);","module counter_tb (
clk, reset_, count, incr_vld, incr_value, decr_vld, decr_value, jump_vld, jump_value
);

    parameter width = 1;
    parameter min = 0;
    parameter [width:0] max = ((1<<width)-1);

input clk;
input reset_;
input [width-1:0] count;
input             incr_vld;
input [width-1:0] incr_value;
input             decr_vld;
input [width-1:0] decr_value;
input             jump_vld;
input [width-1:0] jump_value;


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);


wire [width-1:0] eff_incr = {width{incr_vld}} & incr_value;
wire [width-1:0] eff_decr = {width{decr_vld}} & decr_value;
wire [width-1:0] net_incr = (eff_incr>eff_decr) ? (eff_incr-eff_decr) : {width{1'b0}};
wire [width-1:0] net_decr = (eff_decr>eff_incr) ? (eff_decr-eff_incr) : {width{1'b0}};


reg [width-1:0] eff_incr_d1;
reg [width-1:0] eff_decr_d1;
reg [width-1:0] net_incr_d1;
reg [width-1:0] net_decr_d1;

reg [width-1:0] count_d1;
reg             incr_vld_d1;
reg [width-1:0] incr_value_d1;
reg             decr_vld_d1;
reg [width-1:0] decr_value_d1;
reg             jump_vld_d1;
reg [width-1:0] jump_value_d1;

reg [width:0]     count_d1_next;
reg [width:0]     count_d1_next_p;
reg [width:0]     count_d1_next_m;

reg tb_reset_d1;
reg tb_reset_d2;
reg tb_reset_1_cycle_pulse_shadow;

always @(posedge clk) begin
    if (!reset_) begin 
        incr_vld_d1 <= 1'b0;
        decr_vld_d1 <= 1'b0;
        jump_vld_d1 <= 1'b0;
        eff_incr_d1 <= {width{1'b0}};
        eff_decr_d1 <= {width{1'b0}};
        net_incr_d1 <= {width{1'b0}};
        net_decr_d1 <= {width{1'b0}};
    end else begin
        eff_incr_d1 <= eff_incr;
        eff_decr_d1 <= eff_decr;
        net_incr_d1 <= net_incr;
        net_decr_d1 <= net_decr;
        incr_vld_d1 <= incr_vld;
        decr_vld_d1 <= decr_vld;
        jump_vld_d1 <= jump_vld;         
    end
end

always @(posedge clk) begin
        count_d1 <= count;
        incr_value_d1 <= incr_value;
        decr_value_d1 <= decr_value;
        jump_value_d1 <= jump_value;
        tb_reset_d1 <= tb_reset;          
        tb_reset_d2 <= tb_reset_d1;         
end
always @(posedge clk) begin
    count_d1_next <= count_d1 + net_incr_d1 - net_decr_d1;
    count_d1_next_m <= count_d1 - net_decr_d1;
    count_d1_next_p <= count_d1 + net_incr_d1;
    tb_reset_1_cycle_pulse_shadow <=!tb_reset_d2 && tb_reset_d1 && !tb_reset;
end

endmodule"
arbiter_reverse_priority,arbiter_0,that the arbiter grant signal is 0-1-hot. Use the signal 'tb_gnt'.,"asrt: assert property (@(posedge clk) disable iff (tb_reset)
    !($onehot0(tb_gnt)) !== 1'b1
);","module arbiter_reverse_priority_tb (
clk, reset_, req, gnt, gnt_id, busy, hold, cont_gnt);

    parameter       NUM_OF_CLIENTS = 6;

localparam tb_num_client_req_width = $clog2(NUM_OF_CLIENTS); 
localparam busy_latency_width = $clog2(NUM_OF_CLIENTS);
localparam cont_gnt_latency_width = $clog2(NUM_OF_CLIENTS);
localparam hold_latency_width = $clog2(NUM_OF_CLIENTS);

input clk;
input reset_;//clock and reset
input busy; //busy 
input hold;//hold
input [NUM_OF_CLIENTS-1 : 0] req;
input [NUM_OF_CLIENTS-1 : 0] gnt;//request and grant. grant is assumed to be one hot.
input [tb_num_client_req_width-1:0] gnt_id;
input cont_gnt; //same as cont_gnt from arbgen


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

wire [NUM_OF_CLIENTS-1 : 0] tb_req;
wire [NUM_OF_CLIENTS-1 : 0] tb_gnt;
wire [NUM_OF_CLIENTS-1 : 0] tb_req_for_starvation;
wire [NUM_OF_CLIENTS-1 : 0] tb_hold;


genvar a;
for(a=0;a<NUM_OF_CLIENTS;a++) begin 
    assign tb_req[a] = req[NUM_OF_CLIENTS-1-a];
    assign tb_gnt[a] = gnt[NUM_OF_CLIENTS-1-a];
    assign tb_req_for_starvation[a] = req[NUM_OF_CLIENTS-1-a];
end

reg [NUM_OF_CLIENTS-1 : 0] last_gnt;
always @(posedge clk) begin
    if (!reset_) begin 
        last_gnt <= 0; 
   end else if (|tb_gnt && !cont_gnt) begin 
        last_gnt <= tb_gnt; 
    end
end


genvar i;
reg [NUM_OF_CLIENTS-1 : 0] req_seen_flag;
for (i = 0; i < NUM_OF_CLIENTS; i++) begin
    always @(posedge clk) begin
        if (!reset_) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i] && tb_gnt[i]) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i]) begin req_seen_flag[i] <= 1; end
        else if (tb_gnt[i]) begin req_seen_flag[i] <= 0; end
    end
end


endmodule"
arbiter_reverse_priority,arbiter_3,"that if there is a req, there will be a grant except when busy. Use the signals 'tb_req', 'busy', and 'tb_gnt'.","asrt: assert property (@(posedge clk) disable iff (tb_reset)
    (!busy && |tb_req && (tb_gnt == 'd0)) !== 1'b1
);","module arbiter_reverse_priority_tb (
clk, reset_, req, gnt, gnt_id, busy, hold, cont_gnt);

    parameter       NUM_OF_CLIENTS = 6;

localparam tb_num_client_req_width = $clog2(NUM_OF_CLIENTS); 
localparam busy_latency_width = $clog2(NUM_OF_CLIENTS);
localparam cont_gnt_latency_width = $clog2(NUM_OF_CLIENTS);
localparam hold_latency_width = $clog2(NUM_OF_CLIENTS);

input clk;
input reset_;//clock and reset
input busy; //busy 
input hold;//hold
input [NUM_OF_CLIENTS-1 : 0] req;
input [NUM_OF_CLIENTS-1 : 0] gnt;//request and grant. grant is assumed to be one hot.
input [tb_num_client_req_width-1:0] gnt_id;
input cont_gnt; //same as cont_gnt from arbgen


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

wire [NUM_OF_CLIENTS-1 : 0] tb_req;
wire [NUM_OF_CLIENTS-1 : 0] tb_gnt;
wire [NUM_OF_CLIENTS-1 : 0] tb_req_for_starvation;
wire [NUM_OF_CLIENTS-1 : 0] tb_hold;


genvar a;
for(a=0;a<NUM_OF_CLIENTS;a++) begin 
    assign tb_req[a] = req[NUM_OF_CLIENTS-1-a];
    assign tb_gnt[a] = gnt[NUM_OF_CLIENTS-1-a];
    assign tb_req_for_starvation[a] = req[NUM_OF_CLIENTS-1-a];
end

reg [NUM_OF_CLIENTS-1 : 0] last_gnt;
always @(posedge clk) begin
    if (!reset_) begin 
        last_gnt <= 0; 
   end else if (|tb_gnt && !cont_gnt) begin 
        last_gnt <= tb_gnt; 
    end
end


genvar i;
reg [NUM_OF_CLIENTS-1 : 0] req_seen_flag;
for (i = 0; i < NUM_OF_CLIENTS; i++) begin
    always @(posedge clk) begin
        if (!reset_) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i] && tb_gnt[i]) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i]) begin req_seen_flag[i] <= 1; end
        else if (tb_gnt[i]) begin req_seen_flag[i] <= 0; end
    end
end


endmodule"
arbiter_reverse_priority,arbiter_4,that each grant must be to a requesting client only. Use the signals 'tb_req' and 'tb_gnt'.,"asrt: assert property (@(posedge clk) disable iff (tb_reset)
    (|tb_gnt && ((tb_gnt & tb_req) == 'd0)) !== 1'b1
);","module arbiter_reverse_priority_tb (
clk, reset_, req, gnt, gnt_id, busy, hold, cont_gnt);

    parameter       NUM_OF_CLIENTS = 6;

localparam tb_num_client_req_width = $clog2(NUM_OF_CLIENTS); 
localparam busy_latency_width = $clog2(NUM_OF_CLIENTS);
localparam cont_gnt_latency_width = $clog2(NUM_OF_CLIENTS);
localparam hold_latency_width = $clog2(NUM_OF_CLIENTS);

input clk;
input reset_;//clock and reset
input busy; //busy 
input hold;//hold
input [NUM_OF_CLIENTS-1 : 0] req;
input [NUM_OF_CLIENTS-1 : 0] gnt;//request and grant. grant is assumed to be one hot.
input [tb_num_client_req_width-1:0] gnt_id;
input cont_gnt; //same as cont_gnt from arbgen


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

wire [NUM_OF_CLIENTS-1 : 0] tb_req;
wire [NUM_OF_CLIENTS-1 : 0] tb_gnt;
wire [NUM_OF_CLIENTS-1 : 0] tb_req_for_starvation;
wire [NUM_OF_CLIENTS-1 : 0] tb_hold;


genvar a;
for(a=0;a<NUM_OF_CLIENTS;a++) begin 
    assign tb_req[a] = req[NUM_OF_CLIENTS-1-a];
    assign tb_gnt[a] = gnt[NUM_OF_CLIENTS-1-a];
    assign tb_req_for_starvation[a] = req[NUM_OF_CLIENTS-1-a];
end

reg [NUM_OF_CLIENTS-1 : 0] last_gnt;
always @(posedge clk) begin
    if (!reset_) begin 
        last_gnt <= 0; 
   end else if (|tb_gnt && !cont_gnt) begin 
        last_gnt <= tb_gnt; 
    end
end


genvar i;
reg [NUM_OF_CLIENTS-1 : 0] req_seen_flag;
for (i = 0; i < NUM_OF_CLIENTS; i++) begin
    always @(posedge clk) begin
        if (!reset_) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i] && tb_gnt[i]) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i]) begin req_seen_flag[i] <= 1; end
        else if (tb_gnt[i]) begin req_seen_flag[i] <= 0; end
    end
end


endmodule"
arbiter_reverse_priority,arbiter_5,"that no grants are made when the arbiter downstream is busy. Use the signals 'tb_gnt', 'hold', 'busy', and 'last_gnt'.","asrt: assert property (@(posedge clk) disable iff (tb_reset)
    (|tb_gnt && busy) !== 1'b1
);","module arbiter_reverse_priority_tb (
clk, reset_, req, gnt, gnt_id, busy, hold, cont_gnt);

    parameter       NUM_OF_CLIENTS = 6;

localparam tb_num_client_req_width = $clog2(NUM_OF_CLIENTS); 
localparam busy_latency_width = $clog2(NUM_OF_CLIENTS);
localparam cont_gnt_latency_width = $clog2(NUM_OF_CLIENTS);
localparam hold_latency_width = $clog2(NUM_OF_CLIENTS);

input clk;
input reset_;//clock and reset
input busy; //busy 
input hold;//hold
input [NUM_OF_CLIENTS-1 : 0] req;
input [NUM_OF_CLIENTS-1 : 0] gnt;//request and grant. grant is assumed to be one hot.
input [tb_num_client_req_width-1:0] gnt_id;
input cont_gnt; //same as cont_gnt from arbgen


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

wire [NUM_OF_CLIENTS-1 : 0] tb_req;
wire [NUM_OF_CLIENTS-1 : 0] tb_gnt;
wire [NUM_OF_CLIENTS-1 : 0] tb_req_for_starvation;
wire [NUM_OF_CLIENTS-1 : 0] tb_hold;


genvar a;
for(a=0;a<NUM_OF_CLIENTS;a++) begin 
    assign tb_req[a] = req[NUM_OF_CLIENTS-1-a];
    assign tb_gnt[a] = gnt[NUM_OF_CLIENTS-1-a];
    assign tb_req_for_starvation[a] = req[NUM_OF_CLIENTS-1-a];
end

reg [NUM_OF_CLIENTS-1 : 0] last_gnt;
always @(posedge clk) begin
    if (!reset_) begin 
        last_gnt <= 0; 
   end else if (|tb_gnt && !cont_gnt) begin 
        last_gnt <= tb_gnt; 
    end
end


genvar i;
reg [NUM_OF_CLIENTS-1 : 0] req_seen_flag;
for (i = 0; i < NUM_OF_CLIENTS; i++) begin
    always @(posedge clk) begin
        if (!reset_) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i] && tb_gnt[i]) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i]) begin req_seen_flag[i] <= 1; end
        else if (tb_gnt[i]) begin req_seen_flag[i] <= 0; end
    end
end


endmodule"
arbiter_reverse_priority,arbiter_6,"that the arbiter holds onto grants when there is hold. Use the signals 'tb_gnt', 'hold', and 'tb_req'.","asrt : assert property (@(posedge clk) disable iff (tb_reset)
    (hold && !busy && (tb_gnt != last_gnt)) !== 1'b1 
);","module arbiter_reverse_priority_tb (
clk, reset_, req, gnt, gnt_id, busy, hold, cont_gnt);

    parameter       NUM_OF_CLIENTS = 6;

localparam tb_num_client_req_width = $clog2(NUM_OF_CLIENTS); 
localparam busy_latency_width = $clog2(NUM_OF_CLIENTS);
localparam cont_gnt_latency_width = $clog2(NUM_OF_CLIENTS);
localparam hold_latency_width = $clog2(NUM_OF_CLIENTS);

input clk;
input reset_;//clock and reset
input busy; //busy 
input hold;//hold
input [NUM_OF_CLIENTS-1 : 0] req;
input [NUM_OF_CLIENTS-1 : 0] gnt;//request and grant. grant is assumed to be one hot.
input [tb_num_client_req_width-1:0] gnt_id;
input cont_gnt; //same as cont_gnt from arbgen


wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

wire [NUM_OF_CLIENTS-1 : 0] tb_req;
wire [NUM_OF_CLIENTS-1 : 0] tb_gnt;
wire [NUM_OF_CLIENTS-1 : 0] tb_req_for_starvation;
wire [NUM_OF_CLIENTS-1 : 0] tb_hold;


genvar a;
for(a=0;a<NUM_OF_CLIENTS;a++) begin 
    assign tb_req[a] = req[NUM_OF_CLIENTS-1-a];
    assign tb_gnt[a] = gnt[NUM_OF_CLIENTS-1-a];
    assign tb_req_for_starvation[a] = req[NUM_OF_CLIENTS-1-a];
end

reg [NUM_OF_CLIENTS-1 : 0] last_gnt;
always @(posedge clk) begin
    if (!reset_) begin 
        last_gnt <= 0; 
   end else if (|tb_gnt && !cont_gnt) begin 
        last_gnt <= tb_gnt; 
    end
end


genvar i;
reg [NUM_OF_CLIENTS-1 : 0] req_seen_flag;
for (i = 0; i < NUM_OF_CLIENTS; i++) begin
    always @(posedge clk) begin
        if (!reset_) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i] && tb_gnt[i]) begin req_seen_flag[i] <= 0; end
        else if (tb_req_for_starvation[i]) begin req_seen_flag[i] <= 1; end
        else if (tb_gnt[i]) begin req_seen_flag[i] <= 0; end
    end
end


endmodule"
