design_name,task_id,prompt,ref_solution,testbench
nl2sva_machine,0_0,"If the value of sig_E, obtained by comparing sig_B and sig_C xor the negation of sig_H, is equal to the value obtained by comparing sig_A and the negation of sig_J or sig_B, then the assertion holds","assert property(@(posedge clk)
	((sig_E < (sig_B == (sig_C ^ ~|sig_H))) == ((|sig_A === !sig_J) || sig_B))
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,0_1,"If the value of sig_E is less than the result obtained from comparing sig_B with the bitwise XOR of sig_C and the negation of the bitwise OR of sig_H, and this result is equal to the result obtained from either comparing the bitwise OR of sig_A with the negation of sig_J or comparing sig_B itself, then the assertion is true","assert property(@(posedge clk)
	((sig_E < (sig_B == (sig_C ^ ~|sig_H))) == ((|sig_A === !sig_J) || sig_B))
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,0_2,"If the value of sig_E is less than the result of the comparison between sig_B and the bitwise XOR of sig_C and the bitwise negation of the OR operation on sig_H, and this value is equal to the result of the comparison between the equality of sig_A and the logical negation of sig_J, or the value of sig_B, then the assertion is true","assert property(@(posedge clk)
	((sig_E < (sig_B == (sig_C ^ ~|sig_H))) == ((|sig_A === !sig_J) || sig_B))
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,0_3,"If the value of sig_E is less than the XOR of sig_B and the negation of the bitwise OR of sig_C and the negation of sig_H, and the equality of the bitwise OR of sig_A and the negation of sig_J is true or if sig_B is true, the assertion is true on the next clock edge","assert property(@(posedge clk)
	((sig_E < (sig_B == (sig_C ^ ~|sig_H))) == ((|sig_A === !sig_J) || sig_B))
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,0_4,"If the expression (sig_E < (sig_B == (sig_C ^ ~|sig_H))) is equal to the expression ((|sig_A === !sig_J) || sig_B), the assertion holds true","assert property(@(posedge clk)
	((sig_E < (sig_B == (sig_C ^ ~|sig_H))) == ((|sig_A === !sig_J) || sig_B))
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,1_0,"Whenever sig_F is not equal to sig_B, the result is not equal to 1","assert property(@(posedge clk)
	((sig_F != sig_B) !== 1'b1)
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,1_1,"Whenever the value of sig_F is not equal to sig_B, it will not be equal to 1'b1 as well","assert property(@(posedge clk)
	((sig_F != sig_B) !== 1'b1)
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,1_2,"Whenever sig_F is not equal to sig_B and the result is not equal to 1'b1, the assertion is valid","assert property(@(posedge clk)
	((sig_F != sig_B) !== 1'b1)
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,1_3,"If sig_F is not equal to sig_B, the result of the assertion should not be '1' (true)","assert property(@(posedge clk)
	((sig_F != sig_B) !== 1'b1)
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
nl2sva_machine,1_4,"Whenever sig_F is not equal to sig_B, the result of the assertion will not be equal to 1'b1","assert property(@(posedge clk)
	((sig_F != sig_B) !== 1'b1)
);","module dummy (
clk, reset_, 
sig_A,
sig_B,
sig_C,
sig_D,
sig_E
);

input clk;
input reset_;//clock and reset
input sig_A;  
input sig_B;
input sig_C;
input sig_D;  
input sig_E;

logic sig_F;
logic sig_G;
logic sig_H;
logic sig_I;
logic sig_J;

wire tb_reset;
assign tb_reset = (reset_ == 1'b0);

assign sig_F = sig_A;
assign sig_G = sig_B;
assign sig_H = sig_C;
assign sig_I = sig_D;
assign sig_J = sig_E;


endmodule"
